id,sex,ses,marital,profession,education,GIS1,GIS2,GIS3,GIS4,GIS5,GIS6,GIS7,GIS8,GIS9,GIS10,GIS11,GIS12,GIS13,GIS14,GIS15,GIS16,GIS17,GIS18,GIS19,GIS20,GIS21,Age
84,1,1,1,3,1,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,3,3,3,4,4,4,67
85,1,1,1,4,5,3,3,3,2,2,2,3,1,3,3,3,2,3,2,2,3,3,3,3,3,3,72
86,0,1,1,3,5,3,3,2,3,3,2,3,2,1,3,3,3,3,3,3,2,3,3,2,3,3,67
87,0,1,3,3,5,3,3,2,2,2,1,3,1,1,2,2,1,1,1,1,1,2,1,2,1,1,66
88,0,1,3,3,5,3,3,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,61
89,1,1,3,3,5,3,3,3,4,3,2,3,2,2,3,4,4,4,4,4,0,0,0,4,4,4,73
90,1,1,1,4,5,4,4,2,3,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,64
91,1,1,1,4,5,4,4,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,85
92,0,1,3,4,5,4,3,2,2,3,2,3,2,1,2,4,4,4,3,2,3,2,3,3,2,3,68
93,0,1,2,4,5,4,4,2,2,3,2,3,2,3,3,4,4,3,2,3,2,3,3,2,2,3,69
94,1,2,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,63
95,0,1,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,61
96,0,2,1,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,60
97,1,2,3,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,70
98,1,2,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,60
99,1,1,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,63
100,1,1,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,62
101,1,2,1,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,60
102,1,1,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,72
103,1,1,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,60
104,1,2,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,75
105,1,1,1,3,5,4,0,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,60
106,1,1,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,61
107,1,1,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,64
108,1,2,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,60
109,0,2,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,60
110,0,2,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,62
111,1,2,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,70
112,1,1,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,75
113,0,1,3,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,61
114,1,1,1,2,1,3,3,3,4,3,2,3,4,4,3,3,3,3,3,4,4,4,3,3,3,3,61
115,0,1,3,5,1,4,3,3,3,3,3,3,3,4,2,2,3,3,3,3,4,1,1,3,3,3,73
116,0,2,1,5,1,3,3,4,3,3,3,4,4,4,2,3,4,4,4,3,4,3,3,4,2,4,60
117,0,2,3,5,1,3,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,2,3,3,4,4,66
118,1,2,1,1,1,3,4,4,3,1,0,3,4,4,3,1,4,3,3,3,3,3,4,4,0,3,63
119,1,1,1,3,1,4,3,3,3,3,3,4,4,4,3,3,4,4,3,3,4,3,3,4,2,3,75
120,0,2,3,5,1,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,72
121,0,3,3,5,1,3,4,3,3,3,3,4,4,4,3,3,4,4,4,4,4,4,3,4,3,4,72
122,0,1,1,5,5,3,3,4,3,3,3,3,4,4,2,3,4,4,3,3,4,3,3,4,2,3,60
123,1,2,1,3,3,4,4,4,2,3,1,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,64
124,0,4,1,5,2,3,2,1,4,2,3,4,4,4,1,3,4,4,4,4,4,4,1,3,2,4,66
125,1,2,2,3,1,3,3,3,1,3,3,3,0,1,3,3,3,3,3,4,4,1,1,4,2,3,62
126,1,2,1,3,1,3,3,3,3,2,3,3,4,4,3,3,4,3,2,3,4,1,1,3,3,3,62
127,1,3,1,3,1,2,3,1,2,1,3,2,4,4,2,1,4,3,2,4,3,1,1,2,2,3,60
128,1,3,1,3,1,4,3,4,4,4,4,3,4,4,3,4,4,4,2,4,4,4,3,4,4,4,69
129,0,1,1,5,1,3,3,3,2,3,3,3,3,4,2,3,3,3,3,3,4,3,3,3,2,3,60
130,0,2,1,5,1,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,4,3,3,3,2,3,71
131,0,1,3,5,1,3,3,3,3,3,3,4,3,4,2,3,3,3,3,3,4,3,3,3,2,3,60
132,1,3,1,3,3,3,3,3,4,3,4,4,4,4,3,4,4,3,3,3,3,4,2,4,3,3,63
133,1,2,1,3,2,3,3,3,3,4,4,3,4,4,3,3,4,3,4,3,4,4,3,3,3,3,61
134,1,2,1,2,5,4,3,3,4,4,3,4,4,4,3,3,4,3,4,3,4,4,3,3,3,2,63
135,1,3,1,1,3,3,3,3,4,3,3,4,4,4,3,3,4,3,3,3,4,3,3,4,3,3,70
136,1,3,1,1,4,3,3,3,4,3,4,4,4,4,3,3,3,3,4,3,3,3,1,4,3,3,65
137,0,2,3,5,3,3,3,3,4,3,4,4,3,4,3,3,4,3,3,3,3,3,1,3,3,4,76
138,1,2,1,4,1,3,3,4,4,3,3,4,4,4,3,4,4,4,3,3,3,3,4,4,3,4,63
139,1,2,1,2,1,3,3,4,4,3,4,4,4,4,4,2,4,4,3,3,4,3,1,3,2,3,64
140,1,2,1,4,1,4,3,3,4,3,4,3,4,4,4,3,4,3,4,4,4,4,1,3,3,4,60
141,1,3,1,3,4,4,3,4,3,3,3,3,4,3,4,3,4,4,4,3,4,4,1,4,3,3,63
142,1,2,1,4,5,3,2,3,3,3,3,4,4,4,3,3,4,3,4,3,4,1,2,3,2,2,74
143,1,3,1,3,2,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,62
144,1,3,1,1,4,4,4,4,4,3,3,4,4,4,3,3,4,3,4,3,4,4,0,4,3,3,73
145,0,2,3,5,5,2,3,2,4,2,2,4,4,3,2,3,4,3,3,3,4,4,2,3,2,1,77
146,0,2,3,5,5,3,4,4,4,3,2,2,4,3,2,3,4,4,4,3,4,4,3,2,3,2,73
147,1,3,1,3,3,3,3,4,3,3,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,62
148,1,2,3,4,5,4,3,4,4,3,2,4,4,3,2,3,4,3,3,3,4,3,3,3,3,2,77
149,1,3,1,3,1,3,3,3,4,3,3,2,3,4,3,3,3,3,4,3,4,4,3,4,3,4,63
150,1,2,1,3,5,3,3,4,4,3,2,3,3,3,3,3,4,3,3,3,4,4,3,4,3,3,61
